Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230223\2023022-LW-S1.mzML	D:\liuwei\20230223\2023022-LW-S2.mzML	D:\liuwei\20230223\2023022-LW-S3.mzML	D:\liuwei\20230223\2023022-LW-SP1.mzML	D:\liuwei\20230223\2023022-LW-SP2.mzML	D:\liuwei\20230223\2023022-LW-SP3.mzML
O00257	O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	568829	569288	576177	573944	566472	557690
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	202630	212153	187901	204584	221103	202637
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	366361	375642	400013	170725	152884	163295
O00268	O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	192624	183408	196561	193293	174205	206153
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	104077	64886.6	59906.2	81377.8	74096.9	82095.4
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	284644	302419	277811	244146	264458	275155
O00308	O00308;Q9H0M0	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	128986	112007	129932	98517.4	117982	103377
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	67060.7	62983.6	60002.8	60451.7	71407.7	88326.5
O00400	O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	45140.5	35228.8		38933.9	29073.2	44809.9
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	116746	91168.2	98937.8	106991	135858	114275
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	177782	186771	188430	177057	166641	177676
O00411	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	85284.1	88225.4	105680	62348	64279.1	62454.1
O00418	O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	469159	497980	512136	515382	504669	484728
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	191615	174365	132665	186889	139153	184828
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	430923	320183	384104	390661	381676	399908
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	143165	139650	143574	154941	174725	166379
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	36016.7		11311.8	13869.1	20498.8	6813.83
O00443	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	88963	70121.4	60950.1	76965.6	65483.9	71602.6
O00458	O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	38219.8	25367.5	30218.6	19761.3	23830.9	13817.4
O00459	O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	168213	159639	147054	144679	173448	158211
O00461	O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	68397.6	78212.1	78976.2	55815.9	63411.1	76645.3
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	151983	152948	150751	162975	163628	163923
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	849915	918264	908972	1.01052e+06	987022	949419
O00470	O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	312937	342633	389262	458618	446919	468548
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	107021	94038.3	79358.5	93508	73271.3	53450.2
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	385243	460039	382374	292254	366565	369429
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	263824	241156	274628	245602	272191	254854
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	40610	47391.8	42895.5	48423.6	46147.8	33781
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	309219	339558	325809	302164	328691	340403
O00507	O00507	USP9Y_HUMAN	USP9Y	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	32937.8	46213.1		34273.1	22935.3	18939.2
O00512	O00512	BCL9_HUMAN	BCL9	B-cell CLL/lymphoma 9 protein	25306	46987.1	47698.7	50400.4	48615.8	47668.8
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	160405	168012	173758	140784	140587	165578
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	43067.9	49030.3	34032.2	42534	51820	61028.1
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	130692	128299	127358	94045.5	100856	100840
O00571	O00571;O15523	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	1.26646e+06	1.28267e+06	1.32604e+06	1.01978e+06	1.01721e+06	1.08993e+06
O00584	O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	13860		38370.3	14047.2	17271.3	17564.2
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin	96615	79557.5	74312.5	63279.8	74003.2	99827.7
O00625	O00625	PIR_HUMAN	PIR	Pirin	145049	136546	127221	160610	171097	152671
O00629	O00505;O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	391413	398470	444446	477717	472855	446893
O00635	O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	165704	141873	136850	168339	181423	167935
O00712	O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	441336	456706	424688	451393	446061	405728
O00743	O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	220520	220061	260528	198056	221230	178480
O00746	O00746	NDKM_HUMAN	NME4	Nucleoside diphosphate kinase, mitochondrial	43214.4	48301.3	36950.1	48067.3	44225.1	53460.9
O00750	O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	187051	201957	187255	203460	220371	218463
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase			6147.14	13569	10377.6	
O00767	O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	379099	495263	408226	446032	284577	250341
O14494	O14494	PLPP1_HUMAN	PLPP1	Phospholipid phosphatase 1	33005.3	25951.6	30920.1	31413.4	23216.3	20061.3
O14495	O14495	PLPP3_HUMAN	PLPP3	Phospholipid phosphatase 3	110410	99666.7	75880.6	106890	127012	94971.1
O14497	O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	232540	249769	258199	290167	278398	285809
O14519	O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	77613.9	105942	90679.7	83334.6	137453	138864
O14545	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	44957.3	46262.7	50484	20467.9	24230.8	39923.7
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	107237	104880	91952.9	133976	100448	101100
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1		67175		62216.6	62123.7	92530.3
O14578	O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	121110	131797	118668	80838.5	81897.5	85248.2
O14579	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	118925	136314	111412	101784	106262	124078
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	157943	150549	155479	135884	139874	151563
O14639	O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	152225	152542	162092	162896	158970	155437
O14641	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	155357	126067	159206	110226	126048	116480
O14646	O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	306938	301257	316445	249450	239805	269386
O14647	O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	424744	426903	377136	359499	348082	382042
O14653	O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	207074	174560	194961	183032	162428	139022
O14662	O14662	STX16_HUMAN	STX16	Syntaxin-16	26418.6		10913.5		13459.7	28638.3
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	96869.5	85082.6	89368.8	67902.6	65631.6	62047.8
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	106828	106830	114739	94257.7	92938.5	93872.5
O14727	O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	138085	148034	152311	134176	138241	153389
O14730	O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3		48641.7	52509.6	26139	38729.7	22772.9
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	189541	92452	132053	116346	164949	163048
O14734	O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	198629	230601	190477	166935	179650	212775
O14735	O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	144308	266109	173732	144484	201197	125497
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	773734	867355	817529	717656	772394	777269
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	147168	159025	201544	158022	154425	163725
O14770	O14770	MEIS2_HUMAN	MEIS2	Homeobox protein Meis2	28006.6	65828.8	51498.6	135179	90608.9	152671
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	153294	183367	157729	160743	158097	144467
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	96401.6	89873.1	92891.7	100509	101115	90309.5
O14787	O14787	TNPO2_HUMAN	TNPO2	Transportin-2	26092.4	40144.9	36659.5	23585.6	29484.4	38775
O14802	O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	108275	65598.7	69286.5	43666.9	43756.9	55964.4
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	390844	379444	402893	428486	390416	401527
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	147007	154729	158634	125356	136764	134992
O14841	O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	39616.9	30101.5	32992.7	39010.3	38685.5	35046.2
O14874	O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	702978	713805	702883	490732	551158	519872
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	100198	138951	111116	130095	123931	140095
O14908	O14908;Q8TF64	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	52796.8	42939.9	46065.4	75125.3	59670.9	46170.5
O14920	O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	30406.6	41861.6	41762.9	43926.5	36254.6	33734.1
O14925	Q5SRD1;O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	61859.6	91032.5	77610.2	68495.1	48709.7	80943.9
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	394871	355583	366320	425250	423106	458875
O14936	O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	274978	235238	211364	259242	268135	267545
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	84052.7	92740.9	86520.5	67154.9	61500.6	72827.7
O14950;P19105	P19105;P24844;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	338477	325295	312349	302493	299070	317556
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	234286	229610	237480	244457	261729	263481
O14965	O14965	AURKA_HUMAN	AURKA	Aurora kinase A	101515	106754	92531.8	81908.8	91695.5	115896
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	598688	578167	659620	444112	476174	475619
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	455310	425518	484073	588242	647252	614004
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	416478	486719	444659	333735	378190	401817
O14981	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	99988.8	88221.9	85009.2	54737.2	77820	64047
O15013	O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	275215	300222	297519	242561	248091	260433
O15014	O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	173154	190190	184412	180395	191527	178537
O15015	O15015	ZN646_HUMAN	ZNF646	Zinc finger protein 646	61272.2	56448.6	55322.7	46358.7	75013.8	60329
O15020	O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	16555.1	14318.3	23718.4	17526.1	19082.4	24720.4
O15027	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	827398	853897	778243	825504	856208	870031
O15031	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	175273	175524	183088	162801	161830	166414
O15042	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	2.44129e+06	2.38778e+06	2.44534e+06	2.20486e+06	2.10354e+06	2.08979e+06
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	737211	752721	736545	845765	858505	822563
O15084	O15084;Q8N8A2	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	99408.8	84938.9	86036.3	46996.8	53095.3	65449
O15085	O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	20915.8	25980.8	32272.7	36106.4	26943.7	26003.4
O15091	O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	20166.7	26873.2	35597.7	19637.3	21663.8	21703.9
O15111	O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	90813.5	53903.2	67761	37937.8	37793.1	53367
O15121	O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	25207.2	14201.3	33912.9	32702.5	33936.2	25327.3
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	142313	169113	149057	198891	200296	209500
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	80031	83136.4	97022.7	83914.7	100183	92228.6
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	278777	228842	259647	254395	282077	282869
O15155	O15155	BET1_HUMAN	BET1	BET1 homolog	43515.9	51039.4	30271	25637.8	22483.6	18274.1
O15156	O15156	ZBT7B_HUMAN	ZBTB7B	Zinc finger and BTB domain-containing protein 7B	21837.9	42798.3	29881.1	29530.3	15418.8	39986.6
O15160	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	205979	189325	209430	167030	249990	166885
O15169	O15169	AXIN1_HUMAN	AXIN1	Axin-1	205712	190720	213261	242516	233343	246065
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	165445	146646	126024	122116	131271	120420
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	186195	163794	162327	248150	214379	227139
O15226	O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	160066	175346	162701	114537	106732	104006
O15228	O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	33504.9				62696.6	
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	224303	242912	239844	221937	230853	239440
O15234	O15234	CASC3_HUMAN	CASC3	Protein CASC3	55774.7	47440.2	63334.2	49386.5	62062.2	57682.4
O15235	O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	245445	240282	188166	172019	176323	196175
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	389074	344586	509170	360660	479887	319697
O15269	O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	91310.4	90010.5	110046	73140.7	94696.3	76345.2
O15270	O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	34198	23973.3	27534.4	34040.1	17593.6	45044.1
O15294	O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	442927	403635	409062	411772	443554	437915
O15305	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	33152.5			27021.5	34210.3	47385.8
O15344	O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	821320	724634	740242	942144	876421	890141
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	136885	90488.2	122293	125654	127446	150098
O15357	O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	700565	674801	656133	618184	652576	667914
O15360	O15360	FANCA_HUMAN	FANCA	Fanconi anemia group A protein			21106.8	4160.18	18741.3	
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	171102	150190	152784	160671	156650	159817
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	220077	196513	215268	187227	210465	208599
O15379	O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	278067	272572	304141	264402	274384	272882
O15381	O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	32560.7	100201	34240.5	49087.3	47828.6	70309.3
O15391	O15391	TYY2_HUMAN	YY2	Transcription factor YY2	869440	790078	971018	1.29195e+06	1.22909e+06	1.26247e+06
O15397	O15397	IPO8_HUMAN	IPO8	Importin-8	67785.5	64072.8	54615.9	45273	43540.3	49518.9
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	390761	405648	350429	278295	313446	322031
O15431	O15431	COPT1_HUMAN	SLC31A1	High affinity copper uptake protein 1	51776.7	84091.7	72404.3	74934.3	72814.9	72220.7
O15439	O15439	MRP4_HUMAN	ABCC4	Multidrug resistance-associated protein 4	60503.4	51003.6	44628.7	18161.3	17555.5	52602.7
O15440	O15440	MRP5_HUMAN	ABCC5	Multidrug resistance-associated protein 5	85675.8	74593.3	69237.7	73818.6	75142.2	75617.5
